Country,Year,Exports of goods and services (% of GDP)
Canada,1961,1775291513
Canada,1962,177825631
Canada,1963,1825308649
Canada,1964,1918762474
Canada,1965,1853610766
Canada,1966,193370651
Canada,1967,2026860949
Canada,1968,2119723319
Canada,1969,2124546163
Canada,1970,2231561672
Canada,1971,2144693129
Canada,1972,2167168579
Canada,1973,2317999938
Canada,1974,2451343175
Canada,1975,2243392216
Canada,1976,2214716441
Canada,1977,2318337534
Canada,1978,25047677
Canada,1979,268809666
Canada,1980,2808231814
Canada,1981,2691728322
Canada,1982,2569005868
Canada,1983,2545905792
Canada,1984,2863971422
Canada,1985,282839284
Canada,1986,2785299127
Canada,1987,2682051493
Canada,1988,2672379766
Canada,1989,2568478155
Canada,1990,2581373424
Canada,1991,251195345
Canada,1992,2709342165
Canada,1993,3020748531
Canada,1994,3400391504
Canada,1995,3732358044
Canada,1996,3838712144
Canada,1997,3949144305
Canada,1998,4144417376
Canada,1999,4318406907
Canada,2000,455785327
Canada,2001,4354170577
Canada,2002,4156326844
Canada,2003,3812088116
Canada,2004,3842107791
Canada,2005,3780885034
Canada,2006,3613301112
Canada,2007,3495827964
Canada,2008,3511716845
Canada,2009,2874632518
Canada,2010,2943060726
Canada,2011,3116629526
Mexico,1961,8416077888
Mexico,1962,8557250555
Mexico,1963,8331765737
Mexico,1964,7636821162
Mexico,1965,7637845702
Mexico,1966,7465729319
Mexico,1967,6868679077
Mexico,1968,7037058326
Mexico,1969,7538179615
Mexico,1970,7749879916
Mexico,1971,7640236648
Mexico,1972,8064080577
Mexico,1973,8413335064
Mexico,1974,8411406916
Mexico,1975,6894142429
Mexico,1976,8490028544
Mexico,1977,1031762551
Mexico,1978,1046918884
Mexico,1979,1119091537
Mexico,1980,1070529843
Mexico,1981,1040875567
Mexico,1982,1533109898
Mexico,1983,1900240487
Mexico,1984,1738113668
Mexico,1985,1541489157
Mexico,1986,1734074123
Mexico,1987,1949826778
Mexico,1988,1992787403
Mexico,1989,1899694164
Mexico,1990,1860079267
Mexico,1991,1636487066
Mexico,1992,1523779325
Mexico,1993,1524761386
Mexico,1994,1678871487
Mexico,1995,3036237365
Mexico,1996,3207649964
Mexico,1997,3026688826
Mexico,1998,3069435993
Mexico,1999,3073750869
Mexico,2000,3093905966
Mexico,2001,275590038
Mexico,2002,2682257791
Mexico,2003,2535489778
Mexico,2004,2660531815
Mexico,2005,2710142825
Mexico,2006,2796842049
Mexico,2007,2792758653
Mexico,2008,2804789633
Mexico,2009,2772170936
Mexico,2010,3030954705
Mexico,2011,3166823636
United States,1961,5112464392
United States,1962,500280295
United States,1963,5075761831
United States,1964,5323678806
United States,1965,5206229869
United States,1966,5239904591
United States,1967,5264673246
United States,1968,5311541993
United States,1969,5334146284
United States,1970,5825526932
United States,1971,5659868835
United States,1972,5779591837
United States,1973,6959760462
United States,1974,8526818763
United States,1975,8543796969
United States,1976,8263777569
United States,1977,7911203814
United States,1978,8211775044
United States,1979,9046589345
United States,1980,1014634146
United States,1981,9833107803
United States,1982,8774049633
United States,1983,7898713964
United States,1984,7753050969
United States,1985,7216593386
United States,1986,7238418079
United States,1987,7742237545
United States,1988,8769434402
United States,1989,9248671802
United States,1990,9600403422
United States,1991,100595208
United States,1992,1014085407
United States,1993,9959136551
United States,1994,103055782
United States,1995,1106371961
United States,1996,1119454013
United States,1997,1155937746
United States,1998,1091293902
United States,1999,106364907
United States,2000,1104376288
United States,2001,1004211493
United States,2002,9471020377
United States,2003,938742752
United States,2004,1000355999
United States,2005,1038736738
United States,2006,1104810545
United States,2007,1190176052
United States,2008,1298798112
United States,2009,1142154076
United States,2010,1279110088
United States,2011,1396943561
