Year;Imports of goods and services (% of GDP);Country
1960;18,13555927;Canada
1961;18,05176693;Canada
1962;17,79289882;Canada
1963;17,44946007;Canada
1964;18,15451673;Canada
1965;18,65312117;Canada
1966;19,30630827;Canada
1967;19,2523871;Canada
1968;19,98266478;Canada
1969;21,14291917;Canada
1970;19,77289613;Canada
1971;19,80107489;Canada
1972;20,76551454;Canada
1973;21,77099166;Canada
1974;24,37320661;Canada
1975;24,1871663;Canada
1976;22,86218587;Canada
1977;23,35715223;Canada
1978;24,67524512;Canada
1979;26,32011932;Canada
1980;26,22920576;Canada
1981;26,19156603;Canada
1982;21,79519243;Canada
1983;22,20274876;Canada
1984;25,11510692;Canada
1985;25,95704468;Canada
1986;26,88214211;Canada
1987;25,64026414;Canada
1988;25,95311649;Canada
1989;25,65239734;Canada
1990;25,68298376;Canada
1991;25,69324172;Canada
1992;27,46588054;Canada
1993;30,20872296;Canada
1994;32,82174885;Canada
1995;34,13241925;Canada
1996;34,36078025;Canada
1997;37,52788216;Canada
1998;39,44061737;Canada
1999;39,52430731;Canada
2000;39,82566969;Canada
2001;37,79944551;Canada
2002;37,14972179;Canada
2003;34,36074763;Canada
2004;34,10891266;Canada
2005;34,08463109;Canada
2006;33,62329832;Canada
2007;33,01900053;Canada
2008;33,59410958;Canada
2009;30,4337845;Canada
2010;31,30927584;Canada
1960;11,64923625;Mexico
1961;10,61979388;Mexico
1962;10,0947515;Mexico
1963;9,967493138;Mexico
1964;9,858269494;Mexico
1965;9,527160278;Mexico
1966;9,00746575;Mexico
1967;9,010688497;Mexico
1968;9,352493864;Mexico
1969;9,260790711;Mexico
1970;9,651780421;Mexico
1971;8,71908998;Mexico
1972;8,834187877;Mexico
1973;9,466293757;Mexico
1974;10,57588983;Mexico
1975;9,619655401;Mexico
1976;9,867471042;Mexico
1977;10,22074365;Mexico
1978;11,03788961;Mexico
1979;12,45290576;Mexico
1980;12,97391821;Mexico
1981;12,93573692;Mexico
1982;10,31556292;Mexico
1983;9,421007416;Mexico
1984;9,552644091;Mexico
1985;10,33384699;Mexico
1986;13,43424423;Mexico
1987;13,3859822;Mexico
1988;18,53783002;Mexico
1989;19,06173181;Mexico
1990;19,7053901;Mexico
1991;19,27245176;Mexico
1992;20,27153981;Mexico
1993;19,17368449;Mexico
1994;21,6033558;Mexico
1995;27,70343171;Mexico
1996;30,01892695;Mexico
1997;30,37346506;Mexico
1998;32,81413462;Mexico
1999;32,35655429;Mexico
2000;32,93322023;Mexico
2001;29,7739296;Mexico
2002;28,63910356;Mexico
2003;26,81631766;Mexico
2004;28,37370446;Mexico
2005;28,55306909;Mexico
2006;29,2158214;Mexico
2007;29,50796866;Mexico
2008;30,2807732;Mexico
2009;29,06491745;Mexico
2010;31,73566573;Mexico
1960;4,383788482;United States
1961;4,205006492;United States
1962;4,30221761;United States
1963;4,268963959;United States
1964;4,274414716;United States
1965;4,423647744;United States
1966;4,751777087;United States
1967;4,836034431;United States
1968;5,169415866;United States
1969;5,188080043;United States
1970;5,444964871;United States
1971;5,596981403;United States
1972;6,057142857;United States
1973;6,660337399;United States
1974;8,580658187;United States
1975;7,558211162;United States
1976;8,352219336;United States
1977;9,058402861;United States
1978;9,323374341;United States
1979;9,93512876;United States
1980;10,61607949;United States
1981;10,2390618;United States
1982;9,393685906;United States
1983;9,370098948;United States
1984;10,38611424;United States
1985;9,969413114;United States
1986;10,23502825;United States
1987;10,82593799;United States
1988;10,944507;United States
1989;10,86456974;United States
1990;10,9497809;United States
1991;10,51309289;United States
1992;10,66466511;United States
1993;10,93742879;United States
1994;11,63113266;United States
1995;12,29968385;United States
1996;12,43694443;United States
1997;12,78750076;United States
1998;12,76398581;United States
1999;13,45446726;United States
2000;14,90382673;United States
2001;13,66732135;United States
2002;13,50493853;United States
2003;13,93337662;United States
2004;15,22904091;United States
2005;16,11962129;United States
2006;16,79863829;United States
2007;16,96891747;United States
2008;17,88149879;United States
2009;14,05603669;United States
2010;16,15645851;United States
2011;;United States
